0,48,12,39
1,32,30,38
1,36,27,37
1,43,25,32
1,40,33,27
0,53,11,37
0,48,6,47
0,66,5,29
0,56,7,36
0,52,11,37
0,51,5,44
1,27,31,42
1,45,39,17
0,70,4,25
1,38,26,36
1,39,29,32
0,45,13,42
0,53,10,37
1,18,37,45
1,52,33,16
0,48,10,42
1,36,28,36
1,43,37,20
1,35,31,34
1,21,37,42
1,47,43,11
1,30,31,38
0,62,7,30
0,66,7,27
1,48,29,23
0,50,11,39
1,54,32,15
1,43,25,32
1,51,22,27
0,62,5,33
0,53,9,38
1,47,29,25
1,17,45,39
0,47,14,39
1,33,36,31
0,44,12,43
0,46,13,41
1,37,34,29
0,43,13,44
1,42,31,27
0,29,17,54
1,41,23,36
0,61,2,36
1,41,26,33
0,59,8,33
0,58,11,32
0,46,14,40
1,43,27,30
1,31,39,30
1,42,24,34
1,46,32,22
1,37,26,36
1,32,35,33
1,33,30,37
0,48,12,40
0,54,11,35
1,39,30,31
1,46,27,27
1,41,30,29
0,49,13,38
0,52,10,39
1,41,28,31
1,36,38,26
0,59,8,33
0,50,11,39
0,55,12,33
1,38,30,33
1,49,31,21
0,50,11,39
0,65,8,26
0,52,10,38
1,37,25,37
1,33,26,41
1,33,40,27
1,25,29,46
1,33,46,21
1,38,34,28
0,39,12,49
0,43,13,44
0,48,13,38
0,45,13,41
0,42,12,46
0,56,10,34
1,22,46,32
1,34,28,39
0,43,13,44
0,58,9,33
1,35,43,22
0,55,12,34
1,34,41,24
0,55,11,34
0,48,13,40
1,31,38,31
1,42,28,30
0,31,18,51
0,52,10,39
1,39,18,43
1,31,27,42
0,51,12,37
0,48,15,37
0,45,12,42
1,25,41,34
0,57,10,33
0,40,11,49
1,34,33,32
1,56,38,6
1,39,42,19
1,43,29,29
0,62,3,35
0,43,11,46
0,49,11,40
0,44,10,46
1,44,32,24
1,35,27,37
1,33,30,37
1,38,28,34
1,16,45,39
1,38,24,38
0,63,6,31
0,52,8,40
1,42,35,23
0,23,17,60
0,49,12,39
1,27,44,29
1,38,28,34
1,30,25,45
0,56,10,34
1,50,25,26
0,60,8,32
1,46,26,28
0,44,16,41
1,46,28,26
1,34,33,33
1,43,31,25
0,41,14,46
1,23,32,45
1,38,28,34
1,40,32,28
0,57,9,34
0,50,7,44
0,59,7,34
0,50,12,38
1,45,26,29
0,21,16,63
0,40,11,49
0,52,12,36
1,29,36,35
0,57,9,33
0,42,14,45
0,46,13,41
0,53,10,37
1,45,22,33
0,56,8,36
0,49,11,41
0,38,15,46
0,48,15,37
0,51,12,36
1,40,35,25
0,52,9,39
1,32,38,30
0,11,24,65
1,42,22,36
0,49,12,39
1,30,43,27
1,36,25,38
1,40,29,31
0,58,10,32
1,40,38,22
1,42,24,34
1,47,34,20
0,51,10,38
0,48,13,40
1,37,31,32
1,49,25,26
1,38,32,31
1,29,36,35
0,60,8,32
0,63,3,34
1,38,36,27
1,33,32,35
1,38,27,35
1,44,29,27
0,44,11,45
1,45,38,17
1,38,28,33
0,52,11,37
0,54,11,36
1,35,50,15
0,58,7,35
1,39,33,28
1,41,24,35
0,61,6,33
0,55,9,36
1,47,33,20
0,49,12,40
1,30,38,33
0,52,12,36
0,48,11,40
0,47,11,42
0,64,3,32
1,24,39,36
0,61,9,30
0,54,11,35
1,44,32,24
1,33,38,29
0,42,14,43
0,64,6,30
1,47,31,22
0,55,11,34
1,32,27,41
0,48,10,41
0,66,7,27
1,36,36,28
1,51,30,19
1,36,41,23
0,50,11,39
1,29,45,26
0,41,13,47
1,35,36,28
0,59,8,33
0,43,14,44
0,68,6,26
0,44,13,43
0,51,10,40
0,56,7,37
1,40,38,22
0,52,11,37
0,57,10,32
1,46,45,9
1,42,28,29
1,43,35,22
1,54,25,21
0,53,11,36
1,47,33,20
1,27,33,40
0,39,15,46
0,58,11,31
1,28,30,42
0,23,13,64
0,53,9,38
1,42,35,23
0,50,12,38
0,43,13,44
1,53,25,22
0,54,11,36
0,54,8,38
1,29,40,30
1,49,28,23
1,37,28,35
1,39,39,21
0,66,8,26
1,35,30,35
1,20,30,50
1,25,33,43
1,46,39,15
1,39,20,41
0,55,12,33
1,42,34,24
1,41,40,19
0,29,18,53
1,42,38,19
0,68,5,27
0,54,11,35
0,53,8,39
0,55,11,35
1,46,30,25
0,51,11,38
0,48,13,40
1,31,33,36
